task_type,resources,duration,cost
Analysis,8,23,4527
Development,6,14,4190
Analysis,2,33,4484
Testing,1,43,2829
Development,9,20,3374
Analysis,2,35,4539
Development,2,33,4989
Development,5,17,4121
Validation,4,24,4730
Validation,1,22,3847
Validation,6,25,2744
Analysis,8,10,2473
Development,9,30,4166
Analysis,4,48,1877
Validation,5,20,1437
Testing,1,48,4747
Development,5,48,564
Analysis,1,16,4394
Testing,9,44,2814
Testing,2,45,4213
Development,2,16,3307
Testing,2,7,4448
Analysis,1,49,3599
Development,1,32,4331
Validation,7,26,948
Development,1,41,2064
Development,4,18,1477
Validation,5,46,546
Validation,8,25,4516
Validation,1,41,1266
Development,2,35,3879
Analysis,2,18,3704
Validation,9,8,1533
Development,8,39,3634
Development,9,43,2894
Analysis,5,26,554
Development,2,46,2389
Development,5,42,3555
Development,3,11,534
Analysis,2,25,680
Testing,8,31,4697
Validation,4,36,4948
Development,3,5,3220
Analysis,1,10,1212
Validation,9,33,4545
Validation,5,16,2814
Validation,8,29,2903
Validation,3,9,1085
Validation,2,6,2069
Validation,6,40,856
Validation,7,49,4384
Analysis,8,18,1906
Validation,9,17,2780
Testing,7,21,3645
Analysis,1,33,3819
Testing,9,6,770
Development,3,19,635
Validation,3,9,2227
Validation,2,18,4508
Testing,1,48,3961
Development,6,41,3300
Development,3,5,3702
Development,1,22,2161
Testing,2,43,2001
Development,8,8,2208
Testing,5,49,4643
Testing,1,16,2514
Development,1,18,2294
Analysis,7,42,2132
Validation,7,47,1592
Testing,3,30,2116
Analysis,8,31,1598
Development,4,15,4592
Validation,7,46,3029
Testing,2,39,3463
Testing,2,21,3950
Validation,3,28,3734
Analysis,3,13,2626
Development,8,21,1246
Development,2,41,4498
Testing,8,45,4299
Validation,9,5,2683
Testing,7,14,2723
Testing,5,41,2094
Validation,1,38,2623
Testing,1,28,3335
Development,6,48,1726
Development,3,16,3530
Testing,7,21,1092
Testing,2,49,4226
Testing,9,34,3223
Validation,7,13,2404
Testing,2,19,1523
Analysis,3,10,3940
Analysis,2,6,4511
Validation,5,44,831
Testing,6,29,2349
Validation,1,44,3031
Development,2,17,3251
Analysis,4,24,534
Analysis,2,49,4275
Analysis,3,13,2100
Validation,8,18,2813
Development,2,6,4403
Testing,8,20,1635
Development,7,9,1507
Validation,9,23,2981
Analysis,2,29,1967
Testing,5,25,3195
Development,3,24,3065
Validation,2,26,585
Development,9,15,2634
Development,5,8,1262
Validation,1,34,2397
Analysis,3,32,2640
Testing,6,36,3751
Testing,8,17,1399
Development,5,35,4748
Development,6,27,765
Analysis,9,17,1588
Analysis,2,20,651
Validation,2,28,992
Analysis,6,15,3151
Development,8,6,1282
Analysis,5,25,3962
Validation,2,31,3243
Development,2,11,4499
Validation,2,29,664
Development,9,9,2595
Development,8,26,620
Development,2,44,771
Validation,7,23,1757
Development,2,18,2757
Development,8,9,4191
Development,3,12,1296
Testing,6,27,3099
Validation,6,49,815
Testing,1,23,3318
Analysis,5,26,1801
Development,2,42,2992
Analysis,8,38,4969
Testing,2,31,3312
Testing,3,12,4580
Development,2,9,3560
Analysis,3,11,4544
Development,4,26,1640
Validation,4,40,2382
Validation,1,44,4930
Testing,4,30,3869
Testing,3,27,4718
Testing,3,35,3889
Development,4,39,4050
Analysis,4,19,3497
Testing,2,27,4226
Validation,7,47,2519
Testing,8,45,1450
Testing,5,39,4566
Validation,4,6,605
Analysis,1,30,2599
Validation,7,33,2046
Testing,4,48,4799
Testing,3,40,1700
Validation,1,43,3107
Testing,3,23,2881
Testing,1,31,3066
Development,9,41,4267
Analysis,7,34,2467
Development,4,8,3239
Analysis,8,46,3913
Analysis,2,34,1125
Analysis,1,22,4019
Development,2,6,4922
Validation,4,39,1841
Validation,2,5,4297
Testing,1,46,3096
Validation,8,5,4333
Development,7,37,738
Validation,7,33,1140
Testing,2,35,2251
Testing,3,40,2265
Analysis,4,35,4046
Validation,8,31,4749
Validation,4,14,1905
Development,6,40,1513
Analysis,5,30,2482
Development,1,23,4196
Validation,6,8,4334
Validation,8,39,4898
Analysis,1,18,533
Testing,4,41,724
Testing,9,29,3542
Analysis,3,21,2933
Development,3,19,3698
Testing,6,34,1479
Testing,9,22,3633
Analysis,6,30,4190
Analysis,9,7,1560
Analysis,3,18,4441
Development,3,5,3935
Testing,3,28,2877
Analysis,9,46,2581
Development,1,29,4799
Testing,7,28,1303
Analysis,1,25,4416
Validation,4,8,4705
Testing,5,6,1618
Development,3,33,2209
Testing,9,40,4309
Development,4,35,4409
Analysis,3,46,2489
Testing,9,29,3634
Development,7,12,2118
Analysis,5,33,3378
Validation,3,43,1359
Development,3,7,1773
Analysis,4,49,1853
Testing,2,12,4618
Development,2,46,4388
Validation,7,16,1152
Validation,5,18,712
Development,2,42,1484
Testing,3,16,2634
Testing,5,26,3891
Testing,5,45,2106
Development,9,17,2252
Testing,7,44,3525
Testing,5,26,3106
Testing,9,6,923
Development,2,31,2677
Validation,5,40,4904
Validation,8,47,567
Validation,2,17,4704
Development,9,25,549
Testing,7,40,4519
Analysis,7,10,4906
Analysis,5,17,2149
Testing,1,41,3559
Validation,1,24,2696
Testing,9,15,4025
Validation,3,17,4053
Analysis,3,27,2522
Development,1,13,2340
Testing,2,25,1458
Development,8,36,1159
Analysis,6,32,4856
Validation,2,7,3318
Development,6,25,3808
Analysis,4,34,2737
Testing,5,34,4891
Analysis,9,45,3457
Testing,1,16,2554
Validation,3,33,4114
Testing,4,11,2687
Development,5,31,1958
Analysis,5,44,3894
Development,3,12,3260
Validation,4,13,4178
Development,9,10,4346
Validation,8,23,699
Development,4,7,1602
Analysis,8,28,2466
Validation,3,24,2876
Analysis,2,33,3277
Testing,7,27,1922
Validation,9,31,4028
Testing,7,43,2423
Testing,6,21,2201
Analysis,3,8,2951
Analysis,1,36,4661
Testing,7,26,3307
Validation,2,22,2749
Validation,6,20,773
Development,5,35,2928
Analysis,1,47,3645
Analysis,6,17,3737
Development,8,49,4263
Validation,5,18,843
Development,9,10,2582
Development,1,17,4964
Analysis,3,46,4689
Development,3,10,2741
Validation,1,32,4172
Testing,7,17,1734
Validation,3,9,4313
Testing,7,22,3525
Testing,2,20,3065
Validation,9,7,3979
Development,9,9,2411
Validation,6,40,4117
Development,3,26,3686
Testing,1,28,3902
Development,2,14,4140
Analysis,1,16,1505
Analysis,3,30,4526
Testing,7,23,4560
Development,4,32,2441
Validation,5,32,2326
Validation,5,22,1537
Analysis,3,10,2287
Analysis,2,11,4813
Development,7,20,2807
Testing,1,12,2825
Testing,9,24,911
Development,2,29,1236
Analysis,9,6,3371
Validation,1,34,3857
Development,7,23,2457
Analysis,8,34,4473
Analysis,6,40,2406
Development,3,21,2619
Analysis,3,41,1431
Testing,9,29,4288
Analysis,2,40,759
Development,1,40,2941
Development,6,19,4669
Analysis,1,17,1949
Testing,5,10,2889
Analysis,9,23,2400
Analysis,5,41,530
Analysis,3,43,1110
Validation,9,27,2211
Development,1,26,3142
Development,3,38,2135
Analysis,2,44,1141
Analysis,1,45,2861
Validation,7,7,3802
Validation,6,21,3545
Validation,9,25,3851
Validation,3,21,1726
Testing,6,18,4381
Validation,5,22,2928
Testing,2,20,658
Analysis,6,44,4965
Validation,2,23,1250
Testing,2,26,2507
Development,6,46,551
Testing,8,22,582
Validation,7,30,4545
Analysis,5,40,2391
Testing,4,6,4548
Validation,8,35,2930
Validation,1,16,3327
Validation,6,27,4849
Testing,3,31,4907
Validation,2,17,660
Development,2,17,2186
Testing,4,31,1381
Testing,7,30,4304
Testing,5,6,3042
Testing,3,32,1898
Development,5,33,1099
Analysis,3,43,890
Analysis,9,29,3337
Testing,3,43,3156
Development,5,36,4208
Analysis,9,37,3034
Development,6,11,4425
Validation,9,5,4664
Analysis,3,9,1596
Development,3,29,2688
Validation,8,29,1688
Testing,1,45,1126
Development,9,45,4773
Testing,8,6,4560
Analysis,3,37,4168
Analysis,3,10,2251
Testing,8,38,2433
Testing,4,31,3759
Testing,5,32,3000
Testing,3,14,4108
Development,3,32,3083
Validation,7,31,2115
Development,2,41,2828
Validation,4,24,906
Development,9,37,2075
Analysis,4,15,2193
Development,1,31,2586
Development,8,42,1331
Development,9,35,4289
Development,8,34,2835
Validation,8,26,1652
Development,4,9,4550
Analysis,9,18,3022
Validation,9,46,3485
Validation,7,27,1997
Testing,5,45,2464
Development,9,11,1268
Analysis,2,24,3419
Testing,7,22,3637
Validation,5,10,2721
Testing,1,22,570
Development,5,19,3219
Development,8,8,505
Development,7,43,4086
Validation,7,20,2175
Validation,9,22,4272
Development,2,35,784
Development,4,37,675
Analysis,9,10,570
Analysis,5,21,3031
Analysis,7,10,3500
Development,6,40,3321
Testing,6,37,3054
Testing,6,27,2681
Validation,5,21,900
Testing,4,35,1434
Validation,9,25,879
Testing,2,9,2193
Validation,1,28,3380
Analysis,4,40,1201
Development,7,24,4688
Analysis,8,40,4577
Testing,4,46,3265
Validation,4,12,2949
Development,3,8,1127
Development,9,9,3873
Development,4,30,3957
Validation,6,8,2558
Validation,2,17,1626
Testing,3,26,4902
Development,4,27,522
Validation,4,41,3686
Validation,7,47,2145
Analysis,9,40,4441
Development,5,41,1023
Analysis,8,8,4459
Validation,2,26,524
Testing,9,9,553
Testing,3,17,792
Validation,2,8,3293
Analysis,1,39,2778
Validation,2,29,1808
Testing,5,34,1090
Testing,9,23,3643
Development,9,48,1830
Testing,7,11,645
Analysis,4,43,2999
Development,9,23,1048
Validation,7,39,1189
Development,6,35,2724
Development,4,33,3315
Validation,6,26,873
Validation,9,37,1733
Development,9,35,2242
Testing,2,29,990
Development,7,45,4831
Testing,4,28,4166
Development,9,35,1903
Analysis,4,7,4025
Analysis,6,5,906
Validation,5,21,2602
Development,1,32,4571
Analysis,2,28,3896
Analysis,2,44,4810
Development,5,30,1023
Analysis,5,23,3431
Validation,7,46,1160
Testing,5,26,1718
Development,1,36,2023
Testing,4,25,4780
Validation,6,48,1832
Validation,5,22,4519
Analysis,5,35,4327
Development,9,32,3102
Testing,3,33,829
Validation,1,33,1233
Testing,2,21,3204
Validation,8,32,1516
Testing,6,49,4557
Validation,1,32,3093
Testing,2,8,702
Testing,5,35,859
Analysis,4,38,4936
Validation,4,47,1294
Analysis,6,8,611
Validation,2,33,3857
Development,3,24,1221
Development,2,44,4947
Development,1,36,4485
Validation,2,24,876
Testing,8,23,2951
Validation,6,37,2044
Development,9,29,3886
Validation,6,10,1414
Analysis,8,6,3015
Development,8,47,528
Development,9,8,4085
Testing,6,23,4355
Analysis,6,20,1704
Analysis,8,45,4129
Analysis,4,17,3089
Development,4,17,1363
Analysis,8,27,3514
Analysis,2,29,2078
Analysis,9,30,1053
Testing,4,24,3303
Development,5,14,1366
Analysis,9,42,890
Analysis,5,48,2427
Validation,4,36,1352
Analysis,3,31,1281
Development,1,41,3829
Testing,2,31,4965
Validation,6,23,2292
Analysis,9,11,4942
Analysis,9,6,2789
Analysis,9,36,2062
Testing,3,34,2115
Analysis,1,44,2569
Development,2,47,4101
Development,5,27,4128
Analysis,4,39,2664
Development,9,15,2163
Testing,6,26,2027
Analysis,1,39,2902
Analysis,2,10,3163
Validation,8,39,3439
Development,8,48,1156
Analysis,3,42,4987
Validation,6,30,1694
Development,6,17,695
Analysis,2,33,1203
Validation,6,44,723
Development,4,11,3901
Testing,9,32,3009
Testing,5,43,1726
Analysis,2,5,1359
Testing,9,49,2242
Analysis,1,17,698
Development,3,34,2831
Validation,5,30,4466
Analysis,6,13,3537
Analysis,2,7,1692
Testing,6,25,2521
Testing,2,27,1195
Development,4,24,4066
Analysis,2,19,4620
Testing,9,31,758
Validation,3,7,3130
Development,2,17,3889
Development,7,37,4471
Testing,7,32,604
Analysis,4,26,1786
Testing,4,49,4023
Testing,8,32,1791
Testing,6,33,550
Testing,8,16,3892
Development,4,25,4454
Testing,8,30,1708
Testing,4,46,4909
Development,7,34,2975
Development,8,30,3755
Development,6,16,2578
Analysis,7,27,4430
Development,3,22,526
Validation,9,5,3296
Development,4,36,1645
Development,8,10,2657
Testing,2,22,1552
Testing,3,37,1235
Validation,8,22,4275
Analysis,7,21,1293
Analysis,2,24,2300
Validation,2,5,904
Development,8,45,4305
Testing,8,43,1222
Analysis,7,26,3350
Validation,8,46,4821
Analysis,5,24,2639
Testing,8,33,3265
Analysis,6,18,2687
Development,5,48,2868
Testing,7,11,4518
Testing,5,25,4807
Analysis,1,48,2292
Validation,7,27,4981
Validation,6,47,1600
Development,6,49,4625
Validation,3,36,2347
Analysis,3,30,1267
Testing,3,6,2447
Testing,3,20,911
Validation,2,24,4289
Testing,9,6,874
Analysis,4,31,2899
Testing,3,37,928
Testing,5,30,4060
Testing,7,26,1375
Analysis,2,11,1756
Development,8,30,3968
Analysis,4,26,2983
Testing,2,34,4583
Analysis,7,35,4293
Testing,1,25,3807
Analysis,9,35,4118
Analysis,8,31,1145
Testing,9,33,3865
Analysis,2,7,3521
Analysis,4,30,1682
Testing,2,12,3022
Validation,7,41,3934
Testing,9,8,2913
Development,9,35,4086
Analysis,8,41,3042
Validation,4,32,4311
Testing,5,9,4528
Analysis,4,19,4992
Development,1,16,2190
Development,9,16,3694
Validation,7,46,707
Testing,7,36,1740
Testing,7,38,4360
Development,7,48,3044
Analysis,9,30,2499
Testing,6,27,912
Analysis,1,30,1211
Development,6,14,3464
Analysis,4,33,1220
Validation,2,26,4666
Development,7,34,3917
Development,7,22,3358
Development,5,8,2206
Testing,9,45,3754
Validation,6,8,4629
Development,5,20,1535
Validation,7,23,1034
Testing,1,6,1490
Analysis,2,21,3605
Development,9,5,2930
Analysis,3,25,3487
Validation,6,49,3728
Analysis,3,24,4155
Validation,5,29,1230
Validation,8,25,4377
Validation,3,40,3102
Development,9,11,4747
Analysis,9,28,2639
Development,2,26,4587
Analysis,7,41,3737
Analysis,5,39,1777
Analysis,2,19,3142
Validation,4,37,1419
Validation,7,23,1641
Testing,2,39,3350
Testing,4,34,4616
Development,1,19,1641
Testing,3,8,4587
Validation,5,17,3583
Analysis,5,18,3032
Validation,4,40,4299
Analysis,8,25,2007
Analysis,9,49,1555
Testing,1,21,1260
Development,4,33,4637
Analysis,1,25,3994
Development,5,42,4569
Validation,2,41,4367
Validation,5,38,4768
Development,3,27,4349
Analysis,4,41,4683
Testing,8,17,1590
Validation,4,30,4144
Validation,1,39,2404
Validation,9,28,4766
Testing,3,21,1054
Testing,8,24,967
Validation,4,42,3602
Analysis,3,21,3590
Analysis,5,42,2135
Validation,8,25,1837
Analysis,2,37,869
Testing,6,26,938
Development,3,47,4445
Testing,3,45,2319
Development,6,6,4424
Testing,5,30,3820
Testing,3,31,4302
Development,8,41,1550
Testing,4,34,722
Development,4,6,2863
Testing,6,33,4041
Analysis,5,15,967
Development,1,44,1402
Analysis,5,35,3741
Analysis,1,11,560
Analysis,1,35,1280
Analysis,3,19,3371
Validation,3,14,1819
Analysis,9,15,1763
Validation,8,5,2511
Analysis,9,31,1086
Validation,7,38,815
Analysis,5,36,1238
Development,3,12,3686
Development,2,20,2332
Analysis,3,20,4291
Development,9,42,3368
Development,4,38,1276
Analysis,8,11,847
Analysis,8,44,824
Testing,7,23,4946
Validation,1,8,4235
Analysis,3,9,4202
Development,7,21,1595
Analysis,9,13,2470
Analysis,3,5,2477
Validation,7,5,4523
Development,1,15,3975
Analysis,5,38,3046
Validation,7,38,985
Development,2,20,4468
Testing,1,32,1506
Validation,9,5,4428
Testing,7,34,4210
Development,6,34,3020
Analysis,4,29,4195
Development,7,16,4322
Validation,2,43,4095
Analysis,6,16,2687
Testing,1,10,3421
Analysis,7,30,3410
Analysis,7,22,1445
Development,6,43,4299
Testing,6,43,1700
Analysis,6,38,2723
Development,5,38,4001
Testing,2,44,4867
Testing,5,39,2143
Analysis,9,27,1086
Development,6,32,780
Analysis,3,24,2592
Analysis,9,13,1389
Testing,4,16,4007
Development,5,30,1798
Testing,7,28,1859
Analysis,2,7,4386
Validation,4,45,2592
Development,9,33,4262
Development,3,16,3151
Testing,4,21,4866
Testing,2,49,3875
Validation,5,44,756
Development,6,12,4152
Development,9,38,3362
Analysis,9,20,2572
Testing,6,40,1291
Validation,2,16,2116
Validation,8,5,2266
Analysis,9,28,3568
Development,3,7,3755
Testing,3,41,1253
Testing,5,36,4065
Testing,3,47,2423
Analysis,9,27,1306
Testing,5,28,2021
Analysis,1,8,1617
Testing,1,36,2072
Analysis,3,14,1848
Validation,6,48,3205
Testing,7,26,2287
Validation,2,17,4581
Development,7,11,2471
Validation,6,39,3860
Development,4,32,1498
Development,7,11,2604
Validation,6,20,4134
Development,7,39,3880
Analysis,8,46,1168
Testing,4,32,1354
Analysis,1,44,4543
Testing,1,20,2585
Validation,2,9,1439
Analysis,1,19,2100
Analysis,6,30,4464
Analysis,7,5,1554
Testing,3,29,3554
Testing,4,13,1770
Analysis,6,10,2637
Analysis,1,28,666
Analysis,5,23,1849
Validation,5,37,1386
Analysis,8,8,2931
Testing,2,5,3062
Development,4,39,4499
Testing,2,36,4539
Analysis,5,29,2216
Analysis,9,32,1488
Analysis,1,14,2011
Validation,5,32,1491
Development,9,18,3074
Validation,1,48,3555
Development,7,12,2941
Validation,4,32,3163
Validation,6,28,1564
Development,1,48,4799
Analysis,4,22,4801
Analysis,5,11,2351
Validation,2,30,571
Testing,7,5,3079
Analysis,3,33,936
Analysis,4,42,4882
Development,2,14,1444
Analysis,9,49,3407
Development,4,24,4258
Analysis,3,46,4326
Development,8,28,806
Analysis,6,18,4614
Development,5,29,2280
Analysis,5,39,1988
Analysis,9,29,3606
Validation,5,14,1314
Analysis,1,44,510
Testing,1,43,2030
Development,6,47,2926
Analysis,3,18,2207
Testing,7,11,3021
Analysis,2,24,1018
Testing,6,39,2643
Analysis,6,44,4870
Validation,2,49,2702
Testing,7,20,2860
Development,7,47,1873
Validation,1,34,3025
Analysis,9,30,4914
Validation,8,34,2902
Validation,5,41,1914
Testing,7,10,3809
Development,6,13,1550
Validation,6,48,4995
Analysis,4,9,3875
Development,6,24,1118
Development,7,11,3283
Testing,2,40,2274
Validation,2,8,610
Testing,2,49,2411
Testing,7,12,2436
Analysis,6,5,3193
Validation,9,8,3946
Development,9,34,3301
Testing,4,35,4142
Testing,7,32,3009
Development,5,40,4356
Testing,4,44,1753
Testing,9,47,3058
Analysis,9,43,4612
Development,8,36,1128
Testing,4,41,4714
Testing,3,20,4140
Analysis,9,10,3915
Testing,8,19,4714
Validation,1,9,4331
Development,8,6,896
Analysis,6,35,1856
Development,5,5,4125
Validation,2,9,2375
Validation,9,5,2420
Analysis,9,15,1636
Validation,6,32,1979
Development,7,15,1197
Development,2,7,2023
Development,3,46,1920
Analysis,1,19,1604
Development,4,14,915
Development,2,32,4246
Analysis,8,19,1463
Development,3,32,3388
Validation,3,11,917
Analysis,7,27,4376
Development,1,20,552
Development,9,18,2930
Validation,9,29,2905
Development,2,11,1879
Validation,9,9,3173
Analysis,4,49,1472
Validation,7,44,2203
Testing,6,45,2890
Analysis,2,28,3219
Development,3,34,1697
Validation,4,43,1154
Testing,3,13,1159
Development,8,23,2161
Validation,2,44,4112
Validation,4,16,3830
Development,6,20,2523
Validation,2,5,2759
Development,6,28,2542
Analysis,6,8,2881
Analysis,5,18,828
Development,6,41,2520
Analysis,4,42,2412
Testing,1,18,2079
Development,3,42,2004
Development,3,30,1248
Validation,1,38,2964
Testing,1,41,4277
Validation,8,19,4329
Development,8,30,2779
Development,4,30,3081
Validation,5,31,4018
Validation,1,20,3551
Testing,6,19,4195
Validation,3,36,1335
Development,2,18,4038
Validation,6,48,4014
Validation,5,36,2007
Validation,3,13,1286
Validation,2,24,1310
Validation,9,6,3904
Development,3,28,1489
Validation,5,48,2019
Testing,9,27,2526
Development,4,24,2521
Validation,9,43,2844
Testing,8,37,2529
Validation,7,27,2949
Development,6,11,726
Development,6,15,3980
Validation,9,36,2965
Development,2,46,3603
Validation,5,15,563
Validation,2,28,2848
Development,1,45,3222
Validation,9,46,1103
Testing,6,43,950
Development,8,20,3330
Testing,6,26,3942
Development,9,45,2847
Testing,1,30,923
Testing,4,38,1675
Testing,8,48,1782
Validation,9,44,4887
Testing,4,44,2715
Validation,9,45,4861
Testing,9,11,4099
Validation,5,33,3959
Analysis,6,27,3983
Validation,6,8,1528
Validation,5,10,3616
Validation,2,26,4007
Analysis,2,36,4231
Development,9,22,3082
Development,7,8,597
Analysis,2,15,3000
Testing,6,11,3755
Validation,4,20,1465
Validation,1,23,1476
Testing,6,29,4604
Analysis,1,19,4710
Development,6,21,4208
Testing,9,8,3373
Development,2,14,1315
Development,7,26,4144
Validation,9,31,2775
Development,4,14,787
Testing,9,8,709
Development,3,34,1869
Analysis,5,37,1426
Development,4,20,2926
Testing,6,48,2641
Testing,7,23,646
Development,9,5,3879
Development,3,20,968
Testing,8,22,1712
Development,7,47,2443
Testing,1,47,3628
Development,7,18,1736
Analysis,7,12,2685
Analysis,7,40,1119
Development,8,9,1421
Development,8,45,827
Testing,2,49,2382
Testing,9,12,814
Analysis,1,15,4557
Development,5,11,609
Validation,1,8,2963
Testing,8,46,4170
Analysis,2,21,2350
Analysis,1,23,3559
Validation,7,49,2925
Analysis,9,21,4798
Testing,8,48,4619
Testing,9,42,3584
Testing,1,31,4825
Analysis,5,13,1311
Development,6,31,1712
Development,1,34,1028
Development,1,49,2788
Testing,5,49,3647
Development,4,35,3284
Testing,2,6,908
Testing,6,25,2559
Development,1,49,1977
Validation,1,36,563
Validation,4,38,2234
Development,1,33,4043
Analysis,2,27,4260
Testing,1,39,3314
Testing,2,15,2655
Testing,5,33,3575
Validation,4,22,1991
Analysis,4,27,4343
Testing,3,19,3087
Development,8,10,735
Analysis,7,45,3322
Development,9,20,3559
Validation,8,24,568
Validation,7,19,1316
Analysis,8,28,1016
Validation,5,39,2654
Validation,3,27,1010
Analysis,6,34,2638
Analysis,1,28,3068
Validation,6,48,4806
Testing,4,19,976
Analysis,9,43,4002
Analysis,1,10,3356
Validation,4,25,2122
Analysis,2,39,679
Testing,8,41,1233
Analysis,2,27,1358
Testing,5,8,3669
Development,5,41,3588
Validation,4,35,4840
Validation,1,13,2649
Testing,8,28,4219
Development,4,41,1742
Validation,9,45,2469
Analysis,1,15,2004
Testing,9,21,1695
Validation,5,22,3052
Testing,5,7,2077
Development,2,13,4925
Validation,8,18,1552
Validation,5,7,1038
Analysis,3,49,2707
Analysis,8,45,4406
Validation,3,48,2639
Testing,8,19,950
Development,8,23,4785
Analysis,6,34,2507
Development,6,22,4328
Validation,2,34,2593
Testing,7,13,4242
Testing,9,20,2675
Testing,4,28,4212
Development,4,21,2156
Validation,4,7,3022
Analysis,1,44,2694
Development,8,10,857
Development,9,27,4011
Development,9,12,2629
Validation,8,25,4642
Testing,3,7,4252
Analysis,1,38,507
Development,4,35,759
Analysis,3,23,4804
Development,9,45,954
Validation,1,5,864
Development,9,16,4987
Validation,8,27,1207
Testing,2,17,4803
Testing,2,29,4811
Validation,1,28,4852
Analysis,9,15,3624
